Brand,City,Country,Email,Fax,Hours,House_Number,Latitude,Longitude,Name,Payment_Cash,Payment_Credit_Card,Payment_Debit_Card,Phone Number,Postal_Code,Province,Street,Website,Wheelchair
,,,,,,,43.6391519,-79.4460775,Greenfield Market,,,,,,,,,
Bulk Barn,,,,,,500,43.7203441,-79.6008240,Bulk Barn,,,,,,,Rexdale Boulevard,,
Food Basics,,,,,,,43.6667909,-79.4468996,Food Basics,,,,,,,,,
FreshCo,,,,,Mo-Su 07:00-24:00,,43.6546542,-79.4073640,FreshCo,,,,,,,,,
FreshCo,,,,,,,43.6692698,-79.3753220,FreshCo,,,,,,,,,yes
,,,,,,,43.7692767,-79.5218462,Pacific Fresh Food Mart,,,,,,,,,
,Toronto,,,,,1415,43.6572025,-79.4476761,Kibo Market,,,,+1-416-536-0469,,,Bloor Street West,,
,,,,,,,43.6489999,-79.3718909,Domino's Fine Foods,,,,,,,,,
,,,,,,,43.6788016,-79.2976521,The Big Carrot,,,,,,,,,
,Toronto,,,,,293,43.6535654,-79.3979955,Hua Sheng Supermarket,,,,+1-416-263-9883,,,Spadina Avenue,,
Sobeys,,,,,,,43.6452220,-79.5231736,Sobey Urban Fresh,,,,,,,,https://www.sobeys.com/en/stores/sobeys-urban-fresh-bloor-islingto/,
,,,,,,700,43.7168710,-79.4472351,Bulk Villa,,,,,,,Lawrence Avenue West,,
,,,,,,,43.7258148,-79.4830184,Btrust Supermarket,,,,,,,,,
,,,,,,,43.7191271,-79.4578620,Marche Istanbul,,,,,,,,,
,,,,,,,43.7150190,-79.5936915,Dubai Foods,,,,,,,,,
,,,,,,,43.7415360,-79.6049514,Asian Food Centre,,,,,,,,,
,,,,,,,43.7434176,-79.6053819,Sommer Market,,,,,,,,,
,,,,,,,43.7625720,-79.4106361,Longo's,,,,,,,,,
,,,,,,639-643,43.6657990,-79.3505030,Fu Yao Supermarket,,,,,,,Gerrard Street East,,
,,,,,,,43.6604732,-79.3421379,Rowe Farms,,,,,,,,,
,,,,,Mo-Su 07:00-22:00,1,43.6419635,-79.3796955,Coppa's Fresh Market,,,,+1 416 777 0496,M5J0B6,,York Street,https://coppas.com,yes
,,,,,,,43.6697254,-79.3863143,McEwan,,,,,,,,,
,,,,,Mo-Fr 8:00-20:00; Sa 9:00-18:00; Su 10:00-17:00,,43.6709811,-79.3873332,Orchards Marketplace,,,,,,,,,
,,,,,,,43.6713124,-79.2946044,Rowe Beach Market,,,,,,,,,
,,,,,,,43.6251412,-79.4776672,PC Express,,,,,,,,,
,,,,,Mo-Su 07:00-22:00,1100,43.6399598,-79.4233369,Longo's,,,,+1-416-538-1300,,,King Street West,https://www.longos.com/store/liberty-village,
,North York,CA,,,,3685,43.7543673,-79.4876793,Vito’s No Frills,,,,,M3J 3H6,ON,Keele Street,,
,Toronto,,info@thesweetpotato.ca,+1-416-762-4849,"Mo-Sa 09:00-21:00, Su 10:00-20:00",108,43.6667283,-79.4685209,The Sweet Potato,yes,yes,yes,+1-416-762-4848,,,Vine Avenue,https://thesweetpotato.ca,
