Brand,Capacity,Car_Wash,City,Country,Email,Fuel_Diesel,Fuel_Octane_91,Fuel_Octane_95,Fuel_Octane_98,Full_Service,Hours,House_Number,ID,Latitude,Longitude,Name,Operator,Payment_Cash,Phone Number,Postal_Code,Province,Self_Service,Street,Website,geometry
Husky,,,Etobicoke,,,yes,,,,,,1498,370216400,43.6906394,-79.5305671,Husky,,,,,,,Royal York Road,,POINT (-79.5305671 43.6906394)
,,,Etobicoke,,,,,,,,,920,370219568,43.7354375,-79.5608373,Top Valu,,,+1-416-741-8388,M9V 1A4,,yes,Albion Road,,POINT (-79.5608373 43.7354375)
Shell,,,,,,no,,,,,,,370221007,43.7400714,-79.5810566,Shell,,,,,,yes,,,POINT (-79.5810566 43.7400714)
Esso,,,,,,,,,,,,,371382790,43.6483719,-79.4851276,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.4851276 43.6483719)
Shell,,,,,,,,,,,,,371841982,43.7140520,-79.2705063,Shell,,,,,,,,,POINT (-79.27050629999999 43.714052)
Esso,,,,,,yes,,,,,,,380040581,43.6505934,-79.3676496,Esso,,,,,,,,,POINT (-79.36764959999999 43.6505934)
Petro-Canada,,,,,,,,,,,,,380160363,43.6363210,-79.4753929,Petro-Canada,,,,,,,,,POINT (-79.4753929 43.636321)
Esso,,,Scarborough,,,yes,,,,,,3930,380199494,43.7643825,-79.2053096,Esso,,,,,,,Lawrence Avenue East,,POINT (-79.20530960000001 43.7643825)
Shell,,,,,,,,,,,,,380199498,43.7601259,-79.2259714,Shell,,,,,,,,,POINT (-79.22597140000001 43.7601259)
Petro-Canada,,,,,,no,,,,,,,380199500,43.7580987,-79.2348564,Petro-Canada,,,,,,yes,,,POINT (-79.2348564 43.7580987)
Shell,,,,,,yes,,,,,24/7,,380199508,43.7551246,-79.2459789,Shell,,,,,,,,,POINT (-79.2459789 43.7551246)
Esso,,,,,,no,,,,,,,380202731,43.7512861,-79.2645946,Esso,,,,,,yes,,,POINT (-79.2645946 43.7512861)
Esso,,,,,,,,,,,,,382800022,43.7172780,-79.2591010,Esso,,,,,,,,,POINT (-79.259101 43.717278)
Esso,,,,,,no,,,,,,,382850112,43.7757452,-79.2320702,Esso,,,,,,yes,,,POINT (-79.2320702 43.7757452)
Shell,,,Scarborough,,,yes,,,,,,1201,382850347,43.7770499,-79.2314972,Shell,,,,,,yes,Markham Road,,POINT (-79.23149720000001 43.7770499)
Petro-Canada,,,,,,yes,,,,,,,382873641,43.7818725,-79.2347980,Petro-Canada,,,,,,,,,POINT (-79.234798 43.7818725)
Esso,,,,,,yes,,,,,,,382895241,43.8128276,-79.2422112,Esso,,,,,,,,,POINT (-79.2422112 43.8128276)
,,,,,,yes,,,,,24/7,,382898659,43.8229722,-79.2479747,Value,,,,,,,,,POINT (-79.2479747 43.8229722)
Petro-Canada,,,,,,,,,,,,,383551117,43.7144189,-79.5818771,Petro-Canada,,,,,,,,,POINT (-79.5818771 43.7144189)
Esso,,,,,,yes,,,,,,,383551127,43.7017300,-79.5750479,Esso,,,,,,yes,,,POINT (-79.5750479 43.70173)
Petro-Canada,,,,,,yes,,,,,,,383551136,43.6904945,-79.5740249,Petro-Canada,,,,,,,,,POINT (-79.5740249 43.6904945)
Shell,,,Etobicoke,,,,,,,,,230,383562227,43.6751822,-79.5579263,Shell,,,,,,,Lloyd Manor Road,,POINT (-79.55792630000001 43.6751822)
Esso,,,Etobicoke,,,no,,,,,,2189,383937264,43.6231881,-79.4805717,Esso,,,,,,yes,Lake Shore Boulevard West,,POINT (-79.4805717 43.6231881)
Petro-Canada,,,,,,,,,,,,,385038540,43.6371516,-79.4715519,Petro-Canada,,,,,,yes,,,POINT (-79.47155189999999 43.6371516)
Esso,,,,,,,,,,,,,385626617,43.7345364,-79.2474693,Esso,,,,,,,,,POINT (-79.24746930000001 43.7345364)
Esso,,,North York,,,no,,,,,,461,386776803,43.7661302,-79.3884837,Esso,,,,,,,Sheppard Avenue East,https://www.esso.ca/,POINT (-79.38848369999999 43.7661302)
Shell,,,North York,,,yes,,,,,,2831,386776963,43.7664330,-79.3874714,Shell,,,,,,,Bayview Avenue,,POINT (-79.3874714 43.766433)
Esso,,,,,,no,,,,,,,387772007,43.7789546,-79.3086294,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.3086294 43.7789546)
Petro-Canada,,,Scarborough,,,no,,,,,,3400,387772009,43.7792521,-79.3076282,Petro-Canada,,,,,,yes,Sheppard Avenue East,,POINT (-79.3076282 43.7792521)
Shell,,,Scarborough,,,,,,,,,3401,387772011,43.7785945,-79.3070377,Shell,,,,,,yes,Sheppard Avenue East,,POINT (-79.3070377 43.7785945)
Esso,,,North York,,,,,,,,,843,387787110,43.7227273,-79.3389559,Esso,,,,,,,Don Mills Road,https://www.esso.ca/,POINT (-79.3389559 43.7227273)
Petro-Canada,,,,,,,,,,yes,,,387788664,43.7746445,-79.2423324,Petro-Canada,,,,,,,,,POINT (-79.2423324 43.7746445)
Shell,,,,,,yes,,,,,,,387791575,43.7095463,-79.3337050,Shell,,,,,,yes,,,POINT (-79.33370499999999 43.7095463)
Petro-Canada,,,North York,,,yes,,,,,,1095,387792405,43.7368986,-79.3429127,Petro-Canada,,,,,,,Don Mills Road,,POINT (-79.3429127 43.7368986)
Esso,,,,,,,,,,,,,388286940,43.7404842,-79.3238604,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.3238604 43.7404842)
Petro-Canada,,,,,,,,,,,,,388286941,43.7408681,-79.3197815,Petro-Canada,,,,,,,,,POINT (-79.3197815 43.7408681)
Shell,,,,,,yes,,,,,24/7,,388288307,43.7426434,-79.3094776,Shell,,,,,,,,,POINT (-79.30947759999999 43.7426434)
,,,,,,,,,,,,,389605047,43.6877157,-79.3480138,National Variety,,,,,,,,,POINT (-79.3480138 43.6877157)
Shell,,,,,,no,,,,,,,400707921,43.6548315,-79.3636852,Shell,,,,,,,,,POINT (-79.36368520000001 43.6548315)
Esso,,,,,,,,,,,,,401355059,43.6702242,-79.4662914,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.4662914 43.6702242)
Esso,,,,,,yes,,,,,,,401360167,43.6361536,-79.3997160,Esso,,,,,,yes,,,POINT (-79.399716 43.6361536)
Esso,,,,,,yes,,,,,,,404845907,43.6545324,-79.3376443,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.33764429999999 43.6545324)
Petro-Canada,,,Etobicoke,,,,,,,,,830,406297729,43.6392305,-79.5838489,Petro-Canada,,,,,,,Burnhamthorpe Road,,POINT (-79.58384890000001 43.6392305)
Shell,,,,,,,,,,,24/7,,406912792,43.7301517,-79.4676470,Shell,,,,,,,,,POINT (-79.467647 43.7301517)
Esso,,,,,,yes,,,,,24/7,,409158397,43.7185832,-79.2833994,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.28339939999999 43.7185832)
Petro-Canada,,,,,,yes,,,,,,,410375779,43.7263939,-79.4815031,Petro-Canada,,,,,,,,,POINT (-79.4815031 43.7263939)
,,,North York,,,no,,,,,,1500,410375783,43.7214124,-79.5066579,Petroleum Plus,,,,,,,Wilson Avenue,,POINT (-79.50665789999999 43.7214124)
Shell,,,,,,no,,,,,,,410376893,43.7502883,-79.5493480,Shell,,,,,,,,,POINT (-79.54934799999999 43.7502883)
Esso,,,,,,yes,,,,,,,410376934,43.7523224,-79.5430157,Esso,,,,,,,,,POINT (-79.5430157 43.7523224)
Petro-Canada,,,,,,yes,,,,,24/7,,410376936,43.7567991,-79.5180495,Petro-Canada,,,,,,,,,POINT (-79.5180495 43.7567991)
Esso,,,,,,no,,,,,,,410799730,43.7682406,-79.4672558,Esso,,,,,,,,https://www.esso.ca/,POINT (-79.4672558 43.7682406)
Shell,,,North York,,,no,,,,,,4926,410800084,43.7734270,-79.4432461,Shell,,,,,,,Bathurst Street,,POINT (-79.4432461 43.773427)
Esso,,,Etobicoke,,,no,,,,,,1000,414752961,43.6237498,-79.5154818,Esso,,,,,,,The Queensway,,POINT (-79.5154818 43.6237498)
Petro-Canada,,,,,,yes,,,,,,,414983786,43.6103216,-79.5494820,Petro-Canada,,,,,,,,,POINT (-79.549482 43.6103216)
Esso,,,Etobicoke,,,no,,,,,,5470,414983804,43.6322414,-79.5452861,Esso,,,,,,yes,Dundas Street West,,POINT (-79.5452861 43.6322414)
Petro-Canada,,,,,,,,,,,,,417225784,43.7194424,-79.6028133,Petro-Canada,,,,,,,,,POINT (-79.60281329999999 43.7194424)
Husky,,,Etobicoke,,,yes,,,,,,408,417230636,43.6946720,-79.5582229,Husky,,,,,,,Dixon Road,,POINT (-79.5582229 43.694672)
Shell,,,Toronto,,,no,,,,,,3075,417232575,43.7196714,-79.4295390,Shell,,,,,,,Bathurst Street,,POINT (-79.42953900000001 43.7196714)
Esso,,,North York,,,yes,,,,,,3069,417232576,43.7190688,-79.4293094,Esso,,,,,,,Bathurst Street,https://www.esso.ca/,POINT (-79.42930939999999 43.7190688)
Esso,,,,,,,,,,,,,418987530,43.7483752,-79.2077148,Esso,,,,,,,,,POINT (-79.20771480000001 43.7483752)
,,,,,,,,,,,,,421358971,43.7446145,-79.3256091,Sunys,,,,,,,,,POINT (-79.32560909999999 43.7446145)
,,,,,,,,,,,,,422876191,43.7517952,-79.3363226,3 Valleys,,,,,,,,,POINT (-79.3363226 43.7517952)
Petro-Canada,,,,,,no,,,,,,,423019169,43.7583639,-79.3147462,Petro-Canada,,,,,,,,,POINT (-79.3147462 43.7583639)
Petro-Canada,,,,,,no,,,,,,,427687193,43.7695820,-79.2617600,Petro-Canada,,,,,,yes,,,POINT (-79.26176 43.769582)
Shell,,,Scarborough,,,,,,,,,5445,428457900,43.8306262,-79.2755563,Shell,,,,,,yes,Steeles Avenue East,,POINT (-79.27555630000001 43.8306262)
Petro-Canada,,,,,,,,,,,,,428545611,43.8078267,-79.1713655,Petro-Canada,,,,,,,,,POINT (-79.17136549999999 43.8078267)
Esso,,,,,,,,,,,,,432777547,43.6068436,-79.5208377,Esso,,,,,,,,,POINT (-79.5208377 43.6068436)
,,,,,,,,,,,,,432778825,43.6261406,-79.5284445,Global,,,,,,,,,POINT (-79.52844450000001 43.6261406)
Esso,,,,,,,,,,,,751,432778826,43.6277901,-79.5286585,Esso,,,,,,,Kipling Avenue,,POINT (-79.52865850000001 43.6277901)
Esso,,,,,,yes,,,,,24/7,,436015123,43.8349306,-79.2570853,Esso,,,,,,,,,POINT (-79.2570853 43.8349306)
Pioneer,,,,,,,,,,,,,436023009,43.7916805,-79.2480234,Pioneer,,,,,,,,,POINT (-79.24802339999999 43.7916805)
Petro-Canada,,,Scarborough,,,yes,,,,,24/7,3100,436049131,43.7855690,-79.1942562,Petro-Canada,,,,,,,Ellesmere Road,,POINT (-79.1942562 43.785569)
,,,,,,,,,,,,,436884435,43.7872594,-79.1508665,Amco Petroleum,,,,,,yes,,,POINT (-79.15086650000001 43.7872594)
,,,,,,,,,,,,,436884771,43.7827029,-79.1721979,Tru Value,,,,,,,,,POINT (-79.1721979 43.7827029)
Petro-Canada,,,North York,,,,,,,,,2250,437991658,43.7632898,-79.3180650,Petro-Canada,,,,,,,Victoria Park Avenue,,POINT (-79.318065 43.7632898)
Petro-Canada,,,North York,,,,,,,,,2500,437992214,43.7754153,-79.3238673,Petro-Canada,,,,,,,Sheppard Avenue East,,POINT (-79.3238673 43.7754153)
Shell,,,Scarborough,,,no,,,,,24/7,3101,437992871,43.7928830,-79.3306378,Shell,,,,,,yes,Victoria Park Avenue,,POINT (-79.33063780000001 43.792883)
Petro-Canada,,,,,,,,,,,,,437992872,43.7936775,-79.3309950,Petro-Canada,,,,,,,,,POINT (-79.330995 43.7936775)
Petro-Canada,,,Scarborough,,,no,,,,,,3815,437997210,43.8103390,-79.3386442,Petro-Canada,,,,,,,Victoria Park Avenue,,POINT (-79.3386442 43.810339)
Esso,,,North York,,,,,,,,,3400,437998668,43.8042404,-79.3370270,Esso,,,,,,,Victoria Park Avenue,,POINT (-79.33702700000001 43.8042404)
,,,Toronto,,,,,,,,,63,438069798,43.6963733,-79.2748648,Eagle Transmission,,,+1-416-691-7111,M1L 3W5,,,Danforth Avenue,,POINT (-79.2748648 43.6963733)
,,,Toronto,,,,,,,,24/7,1200,444673881,43.6632389,-79.3312004,Neon Gas Service,,,,M4M 1L7,,,Queen Street East,,POINT (-79.3312004 43.6632389)
Shell,,,,,,yes,,,,,,,474958364,43.8032466,-79.1923442,Shell,,,,,,,,,POINT (-79.19234419999999 43.8032466)
Esso,,,,,,yes,,,,,,,474958375,43.8015844,-79.1990185,Esso,,,,,,,,,POINT (-79.19901849999999 43.8015844)
Petro-Canada,,,,,,yes,,,,,,,474960368,43.7073015,-79.4527301,Petro-Canada,,,,,,,,,POINT (-79.4527301 43.7073015)
XTR,,,Toronto,,,,,,,yes,,,474965112,43.7354571,-79.4421919,XTR,,,,,,,,,POINT (-79.4421919 43.7354571)
Esso,,,Toronto,,,no,yes,,,,24/7,3750,474965305,43.7370675,-79.4344003,Esso,,,+1-416-636-1717,M3H 3M4,,,Bathurst Street,https://www.esso.ca/,POINT (-79.43440029999999 43.7370675)
Esso,,,Toronto,,,no,,,,yes,,866,490481635,43.6985731,-79.4063342,Esso,,,,M5P 2K3,,yes,Avenue Road,https://www.esso.ca/,POINT (-79.4063342 43.6985731)
Husky,,,Toronto,,,no,,,,,,861,490481636,43.6983197,-79.4055655,Husky,,,+1-416-489-0952,M5P 2K4,,yes,Avenue Road,,POINT (-79.40556549999999 43.6983197)
XTR,,,Toronto,,,no,,,,,,,501944082,43.6849150,-79.4478750,XTR,,,,,,,,,POINT (-79.447875 43.684915)
Pioneer,,,,,,,,,,,,,520035346,43.5970739,-79.5434995,Pioneer,,,,,,,,,POINT (-79.5434995 43.5970739)
Shell,,,,,,yes,,,,,,,520059699,43.6021833,-79.5449701,Shell,,,,,,,,,POINT (-79.5449701 43.6021833)
,,,,,,,,,,,,,534071164,43.8271199,-79.2909135,Canadian Petroleum,,,,,,,,,POINT (-79.2909135 43.8271199)
,,,Toronto,,,,,,,,,2314,540244329,43.7063009,-79.2519658,Jim's Gas,,,+1-416-267-6788,M1N 1T9,,,Kingston Road,,POINT (-79.25196579999999 43.7063009)
,,,,,,,,,,,,,540244336,43.7105022,-79.2482666,Mid-King Gas,,,,,,,,,POINT (-79.24826659999999 43.7105022)
Esso,,,North York,,,,,,,,,4696,540294861,43.7586670,-79.4105715,Esso,,,,,,,Yonge Street,https://www.esso.ca/,POINT (-79.4105715 43.758667)
Shell,,,,,,yes,,,,,,,544548503,43.7304118,-79.2257805,Shell,,,,,,,,,POINT (-79.2257805 43.7304118)
Pioneer,,,,,,,,,,,,,544548518,43.7315166,-79.2247578,Pioneer,,,,,,,,,POINT (-79.22475780000001 43.7315166)
Esso,,,Etobicoke,,,,,,,,,2291,547687737,43.7159374,-79.5551043,Esso,,,,,,,Islington Avenue,,POINT (-79.5551043 43.7159374)
Mobil,,,,,,yes,,,,,,,547711621,43.7641385,-79.5740544,Mobil,,,,,,,,,POINT (-79.57405439999999 43.7641385)
