Brand,City,Country,Email,Hours,House_Number,ID,Latitude,Longitude,Name,Phone Number,Postal_Code,Province,Street,Website,Wheelchair,geometry
,Scarborough,,,,421,542033108,43.7505163,-79.2213506,Markham Variety,,,,Markham Road,,,POINT (-79.22135059999999 43.7505163)
,,,,,,542895216,43.8048160,-79.2993120,Daisy Mart,,,,,,,POINT (-79.299312 43.804816)
,,,,,,544543795,43.7287677,-79.2289061,,,,,,,,POINT (-79.2289061 43.7287677)
,,,,,,544554090,43.7415066,-79.2253449,,,,,,,,POINT (-79.2253449 43.7415066)
,,,,,,544554113,43.7423075,-79.2211677,,,,,,,,POINT (-79.2211677 43.7423075)
,,,,,,544560260,43.7414582,-79.2319596,Golden Tuck Shop,,,,,,,POINT (-79.2319596 43.7414582)
,,,,,,544664064,43.7315878,-79.4190598,Peterpan's Convenience,,,,,,,POINT (-79.4190598 43.7315878)
,,,,,522,547832250,43.6601977,-79.4798934,Young Flowers Convenience,,,,Annette Street,,,POINT (-79.47989339999999 43.6601977)
,,,,,545,547832252,43.6599192,-79.4800993,Little Bee Mart,,,,Annette Street,,,POINT (-79.48009930000001 43.6599192)
,,,,,,550878317,43.6861765,-79.2735067,,,,,,,no,POINT (-79.2735067 43.6861765)
,Toronto,,,,2414,550879139,43.6748234,-79.2792421,,,,,Queen Street East,,,POINT (-79.2792421 43.6748234)
,,,,,,550879280,43.6740628,-79.2817377,,,,,,,,POINT (-79.28173769999999 43.6740628)
,,,,,,551077688,43.6958619,-79.2758217,,,,,,,,POINT (-79.27582169999999 43.6958619)
,Scarborough,,,,3355,558583562,43.7871987,-79.1839032,Family Mart Plus,,,,Ellesmere Avenue,,,POINT (-79.1839032 43.7871987)
,,,,,,560196732,43.7036365,-79.4411932,,,,,,,,POINT (-79.4411932 43.7036365)
,,,,,,560197575,43.7807499,-79.4155038,Gateway Newsstands,,,,,,,POINT (-79.4155038 43.7807499)
,,,,24/7,,560635033,43.6731747,-79.3875252,Canadian Tire,,,,,https://www.canadiantire.ca/,,POINT (-79.3875252 43.6731747)
,Toronto,,,,150,560635922,43.6757672,-79.4034806,Circle K,,M5R 2E6,,Dupont Street,,,POINT (-79.40348059999999 43.6757672)
,,,,,,561039002,43.7233143,-79.4304786,9-11 Milk,,,,,,no,POINT (-79.4304786 43.7233143)
,North York,,,,3587,561040799,43.7325618,-79.4323175,7-Eleven,,,,Bathurst Street,https://www.7-eleven.com/,,POINT (-79.4323175 43.7325618)
,,,,,,561041446,43.7260548,-79.4310092,,,,,,,,POINT (-79.43100920000001 43.7260548)
,,,,,,561041943,43.7470158,-79.4367374,,,,,,,,POINT (-79.4367374 43.7470158)
,,,,,,561044024,43.8052225,-79.3851015,Tiger Express,,,,,,,POINT (-79.3851015 43.8052225)
,,,,,,561044365,43.7807241,-79.4155215,J's Variety,,,,,,,POINT (-79.4155215 43.7807241)
,,,,,,565543442,43.7755868,-79.4131089,Northtown Convenience,,,,,,,POINT (-79.4131089 43.7755868)
,,,,,,565545454,43.6677637,-79.3851213,,,,,,,,POINT (-79.38512129999999 43.6677637)
,,,,,,565583949,43.7797435,-79.2978630,Daisy Mart,,,,,,,POINT (-79.29786300000001 43.7797435)
,,,,,,565583950,43.7795730,-79.2978058,,,,,,,,POINT (-79.29780580000001 43.779573)
,,,,,,565583952,43.7815280,-79.2989837,"On The Run, Tim Hortons",,,,,,,POINT (-79.29898369999999 43.781528)
Daisy Mart,,,,,,565586068,43.7640714,-79.2911811,Daisy Mart,,,,,,,POINT (-79.2911811 43.7640714)
,Toronto,,,,349,569656245,43.6728384,-79.3370270,Uncle Don's,+1-416-463-9979,M4J 3G4,,Jones Avenue,,,POINT (-79.33702700000001 43.6728384)
,,,,,,569657552,43.6759966,-79.3435609,Ping Field Variety,,,,,,,POINT (-79.3435609 43.6759966)
,,,,,,572859647,43.6462232,-79.3825987,International News,,,,,,,POINT (-79.3825987 43.6462232)
,,,,,,572859686,43.6524437,-79.3785610,International News,,,,,,,POINT (-79.378561 43.6524437)
,,,,,,575209679,43.6508881,-79.3890261,St. Patrick's Mini Market,,,,,,,POINT (-79.3890261 43.6508881)
,Toronto,,,,250,575209694,43.6547501,-79.3893900,International News,,,,Dundas Street West,,,POINT (-79.38939000000001 43.6547501)
,Toronto,,,,3,575245006,43.6639321,-79.4183902,Christie Convenience,,,,Christie Street,,,POINT (-79.4183902 43.6639321)
,,,,,,577450041,43.6687180,-79.3870619,,,,,,,,POINT (-79.38706190000001 43.668718)
,,,,,,579234676,43.6618049,-79.3789127,Peng's Convenience,,,,,,,POINT (-79.3789127 43.6618049)
,Toronto,,,,533,579254437,43.6604689,-79.4143650,OJJJ's Variety,,,,Harbord Street,,,POINT (-79.414365 43.6604689)
,,,,,,579258893,43.6684676,-79.3749655,Sherbourne Variety & Gift,,,,,,,POINT (-79.3749655 43.6684676)
,,,,,,588179800,43.6710160,-79.3822552,International News,,,,,,,POINT (-79.3822552 43.671016)
,Toronto,,,,1733,588647080,43.6546108,-79.4597546,October Convenience,,,,Bloor Street West,,,POINT (-79.4597546 43.6546108)
,Toronto,,,,659,591115494,43.6774888,-79.3441087,P & L Variety Inc.,,,,Pape Avenue,,,POINT (-79.34410870000001 43.6774888)
,,,,,,595495869,43.6612700,-79.3834356,Gateway Newsstands,,,,,,,POINT (-79.3834356 43.66127)
,,,,,,595495870,43.6610401,-79.3834322,,,,,,,,POINT (-79.3834322 43.6610401)
,Toronto,,,24/7,24,595986645,43.6647820,-79.3857760,Rabba,+1-416-922-4451,,,Wellesley Street West,,,POINT (-79.38577600000001 43.664782)
,,,,,,607996705,43.7733010,-79.4034223,Parkview Convenience,,,,,,,POINT (-79.4034223 43.773301)
,,,,,,621944519,43.6436651,-79.3882748,Nicholby's,,,,,,,POINT (-79.3882748 43.6436651)
,,,,,,709877842,43.6493341,-79.3870306,JC's,,,,,,,POINT (-79.3870306 43.6493341)
,,,,,,709877872,43.6565044,-79.4660791,,,,,,,,POINT (-79.4660791 43.6565044)
,,,,,,712595026,43.7895252,-79.3028726,Daisy Mart,,,,,,,POINT (-79.3028726 43.7895252)
,Scarborough,,,,2365,712613211,43.7852759,-79.3099830,Warden Mart Dollar & Smoke Shop,,,,Warden Avenue,,,POINT (-79.309983 43.7852759)
,,,,,,727853015,43.6438359,-79.3803820,International News,,,,,,yes,POINT (-79.380382 43.6438359)
,,,,,,747580050,43.7018047,-79.3872986,Kitchen Food Fair,,,,,,,POINT (-79.38729859999999 43.7018047)
,,,,,,759954188,43.6725276,-79.3881781,Big Bee Convenience & Food Mart,,,,,,,POINT (-79.3881781 43.6725276)
,,,,,,761870856,43.7082555,-79.3927767,Hasty Market,,,,,http://www.hastymarketcorp.com/,yes,POINT (-79.3927767 43.7082555)
Hasty Market,,,,,,767577535,43.6398011,-79.3831862,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.3831862 43.6398011)
,Toronto,,,Su 09:00-23:00; Mo-Th 08:30-23:00; Fr 08:30-24:00; Sa 09:00-24:00,736,769480507,43.6593948,-79.3854842,Joy Convenience,,,,Bay Street,,,POINT (-79.38548419999999 43.6593948)
,Toronto,,,,800,769480519,43.6613158,-79.3862985,INS Market,,,,Bay Street,,,POINT (-79.3862985 43.6613158)
,,,,,,775421160,43.6461274,-79.3836841,Gen Convenience,,,,,,,POINT (-79.3836841 43.6461274)
,,,,,,777335096,43.6979288,-79.3972776,Gateway Newsstands,,,,,,yes,POINT (-79.3972776 43.6979288)
,,,,,,777338608,43.6682389,-79.3998164,Gateway Newstands,,,,,,yes,POINT (-79.39981640000001 43.6682389)
,,,,,,799925654,43.7495057,-79.2773821,Daisy Mart,,,,,,,POINT (-79.2773821 43.7495057)
,,,,,,837125168,43.6609698,-79.3763952,KC's Convenience,,,,,,,POINT (-79.3763952 43.6609698)
,,,,,,846245139,43.7697563,-79.3729168,Peking man restaurant,,,,,,,POINT (-79.3729168 43.7697563)
,Toronto,,,,111,849193763,43.6659838,-79.3786569,Corner Kitchen,,,,Wellesley Street East,,,POINT (-79.3786569 43.6659838)
,Toronto,,,,2044,859635110,43.6855419,-79.3139971,Better Bulk,+1-416-690-8868,,,Danforth Avenue,,,POINT (-79.31399709999999 43.6855419)
,Toronto,,,,609,860789055,43.6786396,-79.2985689,Beach Food Mart,,,,Kingston Road,,,POINT (-79.29856890000001 43.6786396)
,,,,,,863515895,43.6592084,-79.3912733,Gateway Newsstands,,,,,,,POINT (-79.39127329999999 43.6592084)
,,,,,,869737619,43.7918381,-79.3129600,Warden Smoke & Gift,,,,,,,POINT (-79.31296 43.7918381)
,,,,,,869737631,43.7915007,-79.3126971,Daisy Mart,,,,,,,POINT (-79.31269709999999 43.7915007)
,,,,,,869746053,43.7438683,-79.4055928,Select,,,,,,,POINT (-79.40559279999999 43.7438683)
Circle K,Etobicoke,,,,280,889504819,43.6808063,-79.5093023,Circle K,,,,Scarlett Road,,,POINT (-79.5093023 43.6808063)
,,,,,,902313986,43.6413660,-79.4145381,INS Market,,,,,,,POINT (-79.4145381 43.641366)
,,,,,,903704604,43.6439421,-79.4088603,Three Star Food & Grocery,,,,,,,POINT (-79.4088603 43.6439421)
,,,,,1666,903717793,43.6393164,-79.4437382,Queen Mini Mart,,,,Queen Street West,,,POINT (-79.4437382 43.6393164)
,Toronto,,,24/7,2914,956229072,43.7220838,-79.4018100,Food Plus Market,,,,Yonge Street,,,POINT (-79.40181 43.7220838)
,,,,,,960085364,43.6712184,-79.3278685,Daisy Mart,,,,,,,POINT (-79.32786849999999 43.6712184)
,,,,,,960085555,43.6691106,-79.3367399,,,,,,,,POINT (-79.3367399 43.6691106)
,,,,,,964114023,43.7328984,-79.2686892,Scarborough Variety,,,,,,,POINT (-79.2686892 43.7328984)
,,,,,,964114049,43.7324379,-79.2696040,Sujaan Convenience,,,,,,,POINT (-79.269604 43.7324379)
,,,,,,970955653,43.7278335,-79.2658067,Bros Convenience & Video,,,,,,,POINT (-79.2658067 43.7278335)
,Toronto,,,,1316 1/2,992146083,43.6382110,-79.4316606,Okay Convenience,,,,King Street West,,,POINT (-79.4316606 43.638211)
,,,,,,992355141,43.7042510,-79.3882860,New Manor Convenience,,,,,,,POINT (-79.38828599999999 43.704251)
,,,,,,992379650,43.6683731,-79.3891072,International News,,,,,,,POINT (-79.3891072 43.6683731)
,,,,,,1023038809,43.7312465,-79.2698754,Eglinton Smoke Shop,,,,,,,POINT (-79.2698754 43.7312465)
,,,,24/7,,1102834055,43.6571266,-79.4029015,Sam's Food Stores,,,,,,,POINT (-79.4029015 43.6571266)
,,,,,,1109951762,43.7026232,-79.3976674,MAA Variety,+1-416-487-5717,,,,,,POINT (-79.3976674 43.7026232)
,,,,,,1111959398,43.7731417,-79.5051948,P.O.D.,,,,,,,POINT (-79.5051948 43.7731417)
,,,,,,1123746281,43.6795383,-79.3902395,Select,,,,,,,POINT (-79.39023950000001 43.6795383)
,,,,,,1125223655,43.7684951,-79.4148730,City Centre Convenience,,,,,,,POINT (-79.414873 43.7684951)
,,,,,,1125522322,43.7685637,-79.4135020,La Memoire,,,,,,,POINT (-79.41350199999999 43.7685637)
,,,,,,1125621583,43.7644570,-79.4120690,Kitchen Food Fair,,,,,,,POINT (-79.412069 43.764457)
,,,,,,1126750756,43.6706578,-79.3859767,International News,,,,,,,POINT (-79.3859767 43.6706578)
,Toronto,,,,1255,1128460859,43.6711520,-79.3898449,Bay Convenience,,,,Bay Street,,,POINT (-79.3898449 43.671152)
,,,,,,1128880185,43.6689399,-79.3860704,Super Smoke,,,,,,,POINT (-79.38607039999999 43.6689399)
,,,,,,1131481061,43.7738540,-79.5024530,Gateway Cigar Stores,,,,,,,POINT (-79.502453 43.773854)
,,,,,,1132632615,43.6467903,-79.3874879,Gateway Newsstands,,,,,,,POINT (-79.3874879 43.6467903)
,,,,,,1133004639,43.6475780,-79.3846750,Gateway Newstands Public Mobile,,,,,,,POINT (-79.384675 43.647578)
,,,,,,1134620715,43.6741090,-79.3879940,Fine Variety,,,,,,,POINT (-79.38799400000001 43.674109)
,,,,,,1136653727,43.6823097,-79.3999078,Quick Run Convenience,,,,,,,POINT (-79.39990779999999 43.6823097)
,,,,,,1138232197,43.6575810,-79.4002600,Smoke & Variety,,,,,,yes,POINT (-79.40026 43.657581)
7-Eleven,Toronto,,,,1,1138265899,43.6612168,-79.3828093,7-Eleven,,,,Carlton Street,https://www.7-eleven.com/,no,POINT (-79.38280930000001 43.6612168)
,Toronto,,,,,1141382061,43.6447280,-79.3871570,International News,,,,,,,POINT (-79.387157 43.644728)
,,,,,,1141397301,43.6483230,-79.3830930,International News,,,,,,,POINT (-79.383093 43.648323)
,,,,,,1145611137,43.6704691,-79.3896094,Gateway Newsstands,,,,,,,POINT (-79.3896094 43.6704691)
,,,,,,1152251410,43.6751990,-79.4031610,Gaby's Groceries,,,,,,,POINT (-79.403161 43.675199)
,,,,,,1154014087,43.6658716,-79.4035430,Mosaic Variety,,,,,,,POINT (-79.403543 43.6658716)
,Toronto,,,,421,1157113979,43.6600921,-79.3822809,Convenience Milk,,,,Yonge Street,,,POINT (-79.3822809 43.6600921)
Hasty Market,,,,,,1157116205,43.6671970,-79.3813540,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.381354 43.667197)
,,,,,,1191943559,43.6459059,-79.3805762,,,,,,,,POINT (-79.38057619999999 43.6459059)
,,,,,886,1193714298,43.6479679,-79.4007722,Brothers Convenience,,,,Queen Street West,,yes,POINT (-79.40077220000001 43.6479679)
,Toronto,,,Mo-Sa 07:00-24:00; Su 09:00-24:00,1240,1197877794,43.6702632,-79.3907475,Bellair Coffee Plus Convenience,,,,Bay Street,,,POINT (-79.3907475 43.6702632)
,North York,,,,5545,1208787297,43.7786030,-79.4149380,H Mart,,M2N 7L3,,Yonge Street,,,POINT (-79.41493800000001 43.778603)
Hasty Market,,,,,,1213562699,43.6656530,-79.3870730,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.387073 43.665653)
,,,,,,1226880406,43.6481734,-79.3964415,INS Market,,,,,,,POINT (-79.39644149999999 43.6481734)
,Toronto,,,,11,1228454412,43.6871218,-79.3928846,Circle K,+1-416-925-7928,M4T 1K2,,Pleasant Boulevard,http://www.macs.ca/,,POINT (-79.3928846 43.6871218)
,,,,,,1231805691,43.6852350,-79.4129020,Tuck Shop,,,,,,,POINT (-79.412902 43.685235)
,,,,,,1244924659,43.7737278,-79.4921290,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.49212900000001 43.7737278)
,Toronto,,,24/7,1269,1245048192,43.6510787,-79.4394230,S Market,,M6H 1C5,,College Street,,,POINT (-79.43942300000001 43.6510787)
,,,,,,1250411699,43.6605685,-79.3847348,,,,,,,yes,POINT (-79.3847348 43.6605685)
,,,,,,1267343683,43.6499934,-79.3785299,International News,,,,,,,POINT (-79.3785299 43.6499934)
,,,,,,1268638981,43.7068220,-79.3754020,Bayview Jug Milk,,,,,,,POINT (-79.37540199999999 43.706822)
,,,,,,1268649858,43.7037810,-79.3742220,M Variety,,,,,,,POINT (-79.374222 43.703781)
,,,,,,1268672124,43.6969571,-79.3715466,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.3715466 43.6969571)
,,,,,,1272837800,43.6404321,-79.3920708,Tuck Shop,,,,,,,POINT (-79.3920708 43.6404321)
,,,,,,1277713816,43.6379746,-79.3912614,Lakeview Convenience,,,,,,,POINT (-79.3912614 43.6379746)
,,,,,,1279780017,43.6375564,-79.3937647,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.39376470000001 43.6375564)
,,,,,,1279784097,43.6375500,-79.3976720,T.O. Tuck Shop,,,,,,,POINT (-79.397672 43.63755)
,,,,"Mo-Th 07:30-23:00, Fr 07:30-24:00, Sa 08:30-24:00, Su 08:30-23:00",,1279837274,43.6392858,-79.4144044,Liberty Convenience,,,,,,,POINT (-79.4144044 43.6392858)
,,,,,,1279882286,43.6490130,-79.3772550,King Grocery,,,,,,,POINT (-79.37725500000001 43.649013)
,,,,,,1279885491,43.6479710,-79.3775820,International News,,,,,,yes,POINT (-79.377582 43.647971)
,,,,,,1286668098,43.6829742,-79.4199482,Manila Food,,,,,,,POINT (-79.41994819999999 43.6829742)
,Toronto,,,,1086,1288900446,43.6778120,-79.3902120,Roxboro Smoke & Treat,,,,Yonge Street,,,POINT (-79.39021200000001 43.677812)
,,,,Mo-Su,,1291264938,43.7086338,-79.3651653,Leaside Mart,,,,,,,POINT (-79.3651653 43.7086338)
,,,,,,1291989063,43.6658812,-79.3805999,Wellesley Convenience,,,,,,yes,POINT (-79.38059990000001 43.6658812)
,,,,,,1293366612,43.6473333,-79.3868768,Gateway Newsstands,,,,,,,POINT (-79.3868768 43.6473333)
,,,,,,1298022884,43.6666987,-79.3155276,Mini Queen Variety,,,,,,,POINT (-79.3155276 43.6666987)
,Toronto,,,,1612,1298025333,43.6664150,-79.3167726,Park Discount,,,,Queen Street East,,,POINT (-79.31677259999999 43.666415)
,,,,,,1301135676,43.7082690,-79.3931750,Redpath Convenience,,,,,,,POINT (-79.393175 43.708269)
,,,,,,1309537725,43.7152600,-79.4004470,Yonge Gifts & Variety,,,,,,,POINT (-79.400447 43.71526)
,,,,,,1320569673,43.6508094,-79.3774117,,,,,,,yes,POINT (-79.3774117 43.6508094)
,,,,,,1324331588,43.8077940,-79.3568790,Daisy Mart,,,,,,,POINT (-79.35687900000001 43.807794)
,,,,,,1348495236,43.6710448,-79.3839087,Gateway Newstands / Dry Cleaners,,,,,,,POINT (-79.38390870000001 43.6710448)
,Toronto,,,,1177,1375319363,43.6824780,-79.3915730,Luni Tuni Convenience,,,,Yonge Street,,,POINT (-79.39157299999999 43.682478)
,,,,,,1385226405,43.6640350,-79.3838170,Maitland Variety,,,,,,,POINT (-79.38381699999999 43.664035)
,,,,,,1387972151,43.7128226,-79.3915890,Circle K,,,,,http://www.macs.ca/,,POINT (-79.391589 43.7128226)
,,,,,,1392099707,43.7072090,-79.3967760,International News,,,,,,,POINT (-79.396776 43.707209)
,,,,,,1392102542,43.7075810,-79.3951910,The World News,,,,,,,POINT (-79.395191 43.707581)
,Toronto,,,,150,1392106107,43.7077600,-79.3942370,The Smoke Shop,,,,Eglinton Avenue East,,yes,POINT (-79.394237 43.70776)
,Toronto,,,,220,1392114270,43.7082640,-79.3916770,Pilipino & Convenience Store,,,,Eglinton Avenue East,,,POINT (-79.391677 43.708264)
,,,,,,1404099869,43.6707806,-79.4014992,,,,,,,,POINT (-79.4014992 43.6707806)
,,,,,,1409175813,43.6552390,-79.3854230,Convenience Tobacco & News,,,,,,,POINT (-79.385423 43.655239)
,,,,,,1416518880,43.7743098,-79.4423934,North View Variety,,,,,,,POINT (-79.4423934 43.7743098)
,North York,,,,515,1416644661,43.7810034,-79.4440663,On the Run,,,,Drewry Avenue,,,POINT (-79.4440663 43.7810034)
,,,,,,1416646183,43.7801350,-79.4438530,,,,,,,,POINT (-79.443853 43.780135)
,,,,,,1417644028,43.6876270,-79.4023940,Idol Convenience,,,,,,,POINT (-79.402394 43.687627)
,,,,,1021,1423451806,43.7738500,-79.2302270,Mac's,,,,Markham Road,http://www.macs.ca/,,POINT (-79.230227 43.77385)
,,,,,,1432352422,43.6607675,-79.3982610,P.O.D. Provisions on Demand,,,,,,,POINT (-79.39826100000001 43.6607675)
,,,,,,1451077313,43.7246921,-79.5506734,M&B Tropical Grocery,,,,,,,POINT (-79.55067339999999 43.7246921)
,,,,,,1459286756,43.8037580,-79.2881820,Mac's,,,,,http://www.macs.ca/,,POINT (-79.28818200000001 43.803758)
,,,,,,1459291206,43.8016740,-79.2964900,On the Run,,,,,,,POINT (-79.29649000000001 43.801674)
,,,,,,1460719998,43.7683317,-79.4720835,,,,,,,,POINT (-79.4720835 43.7683317)
,,,,,,1502160833,43.7872132,-79.1509537,Daisy Mart,,,,,,,POINT (-79.1509537 43.7872132)
,,,,,,1516012790,43.6733330,-79.3181265,Stop 55,,,,,,,POINT (-79.31812650000001 43.673333)
,,,,,,1518469147,43.6374617,-79.4705510,Sunshine Foods Convenience,,,,,,,POINT (-79.470551 43.6374617)
,Toronto,,,,2931,1518516877,43.6006361,-79.5050670,Top Variety,,,,Lake Shore Boulevard West,,,POINT (-79.505067 43.6006361)
,,,,,,1518547393,43.5972907,-79.5227928,7-Eleven,,,,,https://www.7-eleven.com/,,POINT (-79.5227928 43.5972907)
,Toronto,,,,2299,1684172576,43.6503563,-79.4792002,Max's Market,,,,Bloor Street West,https://www.maxsmarket.ca/,yes,POINT (-79.47920019999999 43.6503563)
,,,,,,1713471308,43.7152027,-79.3999187,Apple Village,,,,,,,POINT (-79.3999187 43.7152027)
,,,,,,1723202114,43.6290350,-79.5173331,7-Eleven,,,,,https://www.7-eleven.com/,,POINT (-79.5173331 43.629035)
,,,,,,1790930141,43.7065010,-79.4000970,Fuzion Convenience,,,,,,,POINT (-79.400097 43.706501)
,,,,,,1792548190,43.7085880,-79.3989800,Sun Smoke Snack & Chips,,,,,,,POINT (-79.39897999999999 43.708588)
,,,,,,1793223634,43.7113550,-79.3986670,Best Fresh Buy Market,,,,,,yes,POINT (-79.398667 43.711355)
,,,,,,1823049790,43.7098370,-79.3823520,Happy Convenience,,,,,,,POINT (-79.382352 43.709837)
,,,,,,1839394313,43.7177588,-79.4004708,WY Variety,,,,,,,POINT (-79.40047079999999 43.7177588)
,Etobicoke,,,,3805,1849979583,43.5923065,-79.5422275,Mark's Milk,,,,Lake Shore Boulevard West,,,POINT (-79.5422275 43.5923065)
,Etobicoke,,,,3216,1852079151,43.5974075,-79.5212392,Mon Lee's Variety,,,,Lake Shore Boulevard West,,,POINT (-79.5212392 43.5974075)
,Toronto,,,,301,1854911997,43.6481875,-79.4495983,Garden Milk & Variety,+1-416-531-8755,M6R 2M6,,Roncesvalles Avenue,,yes,POINT (-79.44959830000001 43.6481875)
,Toronto,,,,3063,1861622345,43.5995098,-79.5101303,Lakeshore Smoke & Variety,,,,Lake Shore Boulevard West,,,POINT (-79.5101303 43.5995098)
,Etobicoke,,,,2941,1861778739,43.6005349,-79.5055408,Village Convenience,,,,Lake Shore Boulevard West,,,POINT (-79.50554080000001 43.6005349)
,Toronto,,,,2773,1861818947,43.6018403,-79.4996168,Bake's variety,,,,Lake Shore Boulevard West,,,POINT (-79.4996168 43.6018403)
,,,,,,1870614703,43.5965083,-79.5237845,Russell Variety,,,,,,,POINT (-79.5237845 43.5965083)
,Toronto,,,,2305,1878425999,43.7077762,-79.3983618,jusil Convenience,,,,Yonge Street,,,POINT (-79.3983618 43.7077762)
,Toronto,,,,3585,1885316839,43.5941428,-79.5342309,Thomas Variety,,,,Lake Shore Boulevard West,,,POINT (-79.5342309 43.5941428)
,Etobicoke,,,,3577,1885316848,43.5941482,-79.5341397,Long Branch Village Mart,+1-416-255-0342,,,Lake Shore Boulevard West,,,POINT (-79.5341397 43.5941482)
,,,,,,1885436882,43.6024306,-79.4985263,S Market,,,,,,,POINT (-79.49852629999999 43.6024306)
,Toronto,,,,2988,1885527597,43.6004587,-79.5073816,Publik Variety,,,,Lake Shore Boulevard West,,,POINT (-79.5073816 43.6004587)
,,,,,407,1886020910,43.6200750,-79.4997685,Royal Convenience,+1-416-255-4214,,,Royal York Road,,,POINT (-79.4997685 43.620075)
,,,,,,1886021009,43.6182402,-79.4993838,Dairy Corner Milk Store,,,,,,,POINT (-79.4993838 43.6182402)
,Etobicoke,,,,215,1886021069,43.6118946,-79.4964242,Rocky Mart,,,,Royal York Road,,,POINT (-79.49642420000001 43.6118946)
,,,,,176,1886065712,43.6109904,-79.4963806,Sunny Convenience Plus,,,,Royal York Road,http://www.hastymarketcorp.com/,,POINT (-79.49638059999999 43.6109904)
,Etobicoke,,,,2491,1886065736,43.6130001,-79.4894113,Jac's Milk,,,,Lake Shore Boulevard West,,,POINT (-79.4894113 43.6130001)
,,,,,,1886072406,43.6197179,-79.4851117,Rabba,,,,,,,POINT (-79.4851117 43.6197179)
Hasty Market,,,,,,1886072410,43.6211672,-79.4831065,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.48310650000001 43.6211672)
,,,,,,1886091183,43.6175968,-79.4874908,Lakeshore Mini Mart,,,,,,,POINT (-79.4874908 43.6175968)
,,,,,,1906061584,43.6011202,-79.5452777,Shop 'N' Milk,,,,,,,POINT (-79.5452777 43.6011202)
,,,,,,1906274259,43.6171871,-79.4878126,Total Convenience,,,,,,,POINT (-79.4878126 43.6171871)
,,,,,,1906274267,43.6155997,-79.4886211,Joe's Variety Plus,,,,,,,POINT (-79.4886211 43.6155997)
,,,,,,1911554923,43.5970849,-79.5234530,October Convenience,,,,,,,POINT (-79.523453 43.5970849)
,,,,,,1928085478,43.7559454,-79.4374054,,,,,,,,POINT (-79.4374054 43.7559454)
,,,,,,1946343376,43.7640148,-79.3986010,Daisy Mart,,,,,,,POINT (-79.398601 43.7640148)
Hasty Market,,,,,,1963419048,43.7759940,-79.3220480,Hasty Market,,,,,http://www.hastymarketcorp.com/,,POINT (-79.322048 43.775994)
,,,,,1118,1995526480,43.6230293,-79.5189510,Queensway Smoke Convenience,,,,The Queensway,,,POINT (-79.518951 43.6230293)
,,,,,,2010020501,43.7760955,-79.3179960,Wishing Well Smoke & Gift Shop,,,,,,,POINT (-79.31799599999999 43.7760955)
,,,,,,2019614380,43.6297002,-79.5037748,Greenview Market,+1-416-252-6788,,,,,,POINT (-79.5037748 43.6297002)
,,,,,,2021679959,43.6365967,-79.5206260,Rainbow Convenience,,,,,,,POINT (-79.52062599999999 43.6365967)
,,,,,,2044284143,43.6205890,-79.5028396,Evan's Convenience,,,,,,,POINT (-79.5028396 43.620589)
,Toronto,,,,990,2065409164,43.6701830,-79.4133745,Steven's Grocery,,M5R 3G6,,Bathurst Street,,,POINT (-79.4133745 43.670183)
,,,,,,2072023133,43.7285017,-79.4783802,Smoke & Gifts Variety,,,,,,,POINT (-79.4783802 43.7285017)
,,,,,,2111296670,43.6796094,-79.3449446,,,,,,,,POINT (-79.34494460000001 43.6796094)
,,,,,,2111296691,43.6822356,-79.3462474,7 days Variety Store,,,,,,,POINT (-79.3462474 43.6822356)
,,,,,,2111352850,43.6886915,-79.3486738,B.A. & M Trading Ltd.,,,,,,,POINT (-79.3486738 43.6886915)
,,,,,,2111368149,43.6901152,-79.3494095,Family Stop,,,,,,,POINT (-79.34940949999999 43.6901152)
,,,,,,2118316784,43.6496407,-79.3790111,International News,,,,,,,POINT (-79.3790111 43.6496407)
,Toronto,,,,381,2137983513,43.6989339,-79.3862780,Circle K,,,,Mount Pleasant Road,,,POINT (-79.386278 43.6989339)
,,,,Mo-Su,,2152544171,43.5918562,-79.5430713,,,,,,,,POINT (-79.54307129999999 43.5918562)
,,,,,,2153426030,43.6076214,-79.5482010,Murray's Variety,,,,,,,POINT (-79.54820100000001 43.6076214)
,,,,,,2153426047,43.5984461,-79.5440985,Lucky J Variety Store,,,,,,,POINT (-79.5440985 43.5984461)
,,,,,,2156721304,43.7744937,-79.2573897,Gateway Newsstands,,,,,,,POINT (-79.2573897 43.7744937)
,Scarborough,,,Mo-Su 07:00-22:00,4190,2156757721,43.7854811,-79.2796724,Diary Mart,,M1S 1T3,,Sheppard Avenue East,,,POINT (-79.2796724 43.7854811)
,,,,,3319,2158114878,43.5963321,-79.5246468,Rigo's Variety,,,,Lake Shore Boulevard West,,,POINT (-79.5246468 43.5963321)
,,,,,,2158114978,43.5955968,-79.5278903,One Stop Shop Variety Store,,,,,,,POINT (-79.5278903 43.5955968)
,Toronto,,,,2987,2159618491,43.6001891,-79.5070557,Dairy Mart,,,,Lake Shore Boulevard West,,,POINT (-79.5070557 43.6001891)
