Brand,City,Country,Email,Hours,House_Number,ID,Latitude,Longitude,Name,Operator,Phone Number,Postal_Code,Province,Street,Wheelchair,geometry
TD Canada Trust,,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su off,,524119577,43.7275397,-79.4030839,TD Canada Trust,,,,,,,POINT (-79.4030839 43.7275397)
CIBC,,,,,,524150961,43.6529369,-79.3971788,CIBC,CIBC,,,,,,POINT (-79.39717880000001 43.6529369)
BOC,,,,,,524150970,43.6537370,-79.3947557,BOC,,,,,,,POINT (-79.3947557 43.653737)
TD Canada Trust,North York,,,,50,530274995,43.7698388,-79.3713780,TD Canada Trust,TD Canada Trust,,,,Provost Drive,,POINT (-79.37137800000001 43.7698388)
CIBC,,,,,,530787065,43.6453610,-79.4485152,CIBC,CIBC,,,,,yes,POINT (-79.4485152 43.645361)
Scotiabank,,,,,,530787069,43.6452978,-79.4484940,Scotiabank,,,,,,,POINT (-79.448494 43.6452978)
RBC,,,,,,530789557,43.6447523,-79.4482598,RBC,Royal Bank,,,,,,POINT (-79.4482598 43.6447523)
Scotiabank,,,,,,534376180,43.6529896,-79.3983556,Scotiabank,,,,,,,POINT (-79.3983556 43.6529896)
CIBC,,,,,,534453399,43.6878836,-79.3942306,CIBC,CIBC,,,,,,POINT (-79.3942306 43.6878836)
Scotiabank,,,,,,535008506,43.7041255,-79.4115234,Scotiabank,,,,,,,POINT (-79.41152339999999 43.7041255)
CIBC,,,,,,535026357,43.6996456,-79.4326162,CIBC,CIBC,,,,,,POINT (-79.4326162 43.6996456)
BMO,,,,,,535026377,43.7007433,-79.4273647,BMO,,,,,,,POINT (-79.4273647 43.7007433)
TD Canada Trust,,,,,,535026380,43.7010981,-79.4257714,TD Canada Trust,,,,,,no,POINT (-79.4257714 43.7010981)
RBC,,,,,,535026381,43.7009086,-79.4266289,RBC,,,,,,,POINT (-79.4266289 43.7009086)
Scotiabank,,,,,,535026384,43.7007983,-79.4256578,Scotiabank,,,,,,,POINT (-79.4256578 43.7007983)
BMO,Etobicoke,,,,3022,535036457,43.6473827,-79.5119835,BMO Bank of Montreal,,,,,Bloor Street West,,POINT (-79.5119835 43.6473827)
TD Canada Trust,,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00; Su 11:00-16:00,2972,535036461,43.6480098,-79.5091563,TD Canada Trust,,,,,Bloor Street West,no,POINT (-79.5091563 43.6480098)
RBC,,,,,,538159523,43.6884777,-79.4127866,RBC,RBC,,,,,,POINT (-79.4127866 43.6884777)
Scotiabank,,,,,,538159524,43.6886746,-79.4128602,Scotiabank,,,,,,,POINT (-79.4128602 43.6886746)
BMO,,,,,,538343125,43.6711550,-79.3834663,BMO,,,,,,,POINT (-79.38346629999999 43.671155)
TD Canada Trust,,,,,,540311696,43.7585631,-79.4098485,TD Canada Trust,,,,,,,POINT (-79.4098485 43.7585631)
,,,,,,540594626,43.6774043,-79.4461501,IC Savings,,,,,,,POINT (-79.4461501 43.6774043)
BMO,Toronto,,,,1200,540594627,43.6778262,-79.4443886,BMO,,,,,St. Clair Avenue West,,POINT (-79.4443886 43.6778262)
Scotiabank,,,,,,542005029,43.7260698,-79.2305537,Scotiabank,,,,,,yes,POINT (-79.2305537 43.7260698)
BMO,,,,Mo-Sa 08:00-22:00,,542852154,43.7672607,-79.1895429,BMO,BMO,,,,,,POINT (-79.18954290000001 43.7672607)
TD Canada Trust,,,,,,542893742,43.7919767,-79.3130712,TD Canada Trust,,,,,,,POINT (-79.3130712 43.7919767)
RBC,,,,,,544542564,43.7261397,-79.2317405,RBC,,,,,,,POINT (-79.2317405 43.7261397)
BMO,,,,,,547491248,43.6491617,-79.3785651,BMO,,,,,,,POINT (-79.3785651 43.6491617)
CIBC,,,,,,558628291,43.6890372,-79.3485078,CIBC,,,,,,yes,POINT (-79.34850779999999 43.6890372)
,,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su off,,560196724,43.7055708,-79.4428298,,,,,,,,POINT (-79.4428298 43.7055708)
RBC,Toronto,,,,155,560227429,43.6457992,-79.3857642,RBC,,+1-416-955-6286 (insurance),,,Wellington Street West,yes,POINT (-79.3857642 43.6457992)
TD Canada Trust,,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su 12:00-16:00,,560650174,43.7624334,-79.4105427,TD Canada Trust,,,,,,,POINT (-79.41054269999999 43.7624334)
CIBC,,,,,,561037783,43.7202958,-79.4310986,CIBC,,,,,,yes,POINT (-79.4310986 43.7202958)
TD Canada Trust,,,,,,561037785,43.7195564,-79.4302400,TD Canada Trust,,,,,,yes,POINT (-79.43024 43.7195564)
RBC,,,,,,561044360,43.7808689,-79.4161676,RBC,,,,,,,POINT (-79.41616759999999 43.7808689)
BMO,,,,,,561181504,43.7462665,-79.2881351,BMO,,,,,,,POINT (-79.28813510000001 43.7462665)
HSBC,Toronto,,,,70,572859641,43.6467492,-79.3832611,HSBC,HSBC Bank Canada,+1-416-868-8000,M5J 1S9,,York Street,,POINT (-79.3832611 43.6467492)
TD Canada Trust,,,,,,598103301,43.6680031,-79.4414539,TD Canada Trust,,,,,,yes,POINT (-79.4414539 43.6680031)
BMO,,,,,,618404719,43.7841295,-79.2896111,BMO,,,,,,,POINT (-79.2896111 43.7841295)
HSBC,,,,,,678894032,43.7879910,-79.2681572,HSBC,,,,,,,POINT (-79.2681572 43.787991)
RBC,,,,,,691071776,43.6598895,-79.3648467,RBC,,,,,,,POINT (-79.3648467 43.6598895)
CIBC,,,,,,697808714,43.6483733,-79.3791523,CIBC,,,,,,,POINT (-79.3791523 43.6483733)
TD Canada Trust,,,,,,699224216,43.6780154,-79.3582959,TD Canada Trust,,,,,,yes,POINT (-79.3582959 43.6780154)
CIBC,,,,,,701882856,43.6483736,-79.3797071,CIBC,,,,,,yes,POINT (-79.3797071 43.6483736)
CIBC,,,,,,703555789,43.7977623,-79.2727294,CIBC,,,,,,,POINT (-79.2727294 43.7977623)
TD Canada Trust,,,,,,705234040,43.7330137,-79.2678083,TD Canada Trust,,,,,,,POINT (-79.2678083 43.7330137)
TD Canada Trust,North York,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00; Su off,2790,707392505,43.7124469,-79.4283582,TD Canada Trust,,,,,Bathurst Street,,POINT (-79.42835820000001 43.7124469)
RBC,,,,,,707392527,43.7120585,-79.4283057,RBC,,,,,,,POINT (-79.4283057 43.7120585)
TD Canada Trust,Toronto,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su off,1966,708119391,43.6995814,-79.3971904,TD Canada Trust,,,M4S 1Z4,,Yonge Street,no,POINT (-79.3971904 43.6995814)
RBC,Toronto,,,,1015,717893252,43.6581242,-79.3298002,RBC,,+1-416-461-3970,,,Lake Shore Boulevard East,,POINT (-79.32980019999999 43.6581242)
TD Canada Trust,,,,,,717893276,43.6579475,-79.3279252,TD Canada Trust,,,,,,,POINT (-79.3279252 43.6579475)
TD Canada Trust,,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00,,729417903,43.6938746,-79.5573211,TD Canada Trust,,,,,,,POINT (-79.5573211 43.6938746)
TD Canada Trust,,,,,,729433325,43.7080927,-79.4782073,TD Canada Trust,,,,,,no,POINT (-79.47820729999999 43.7080927)
RBC,,,,,,754637551,43.7050194,-79.3890851,RBC,,,,,,,POINT (-79.3890851 43.7050194)
BMO,,,,,,766938600,43.6476539,-79.3858007,BMO,,,,,,,POINT (-79.3858007 43.6476539)
RBC,Toronto,,,,207,775894182,43.6392193,-79.3810431,RBC,,+1-416-955-2550 (insurance),,,Queens Quay West,yes,POINT (-79.3810431 43.6392193)
Scotiabank,,,,,,775939290,43.6406229,-79.3777085,Scotiabank,,,,,,yes,POINT (-79.3777085 43.6406229)
CIBC,,,,,,777810395,43.8077601,-79.3569735,CIBC,,,,,,,POINT (-79.3569735 43.8077601)
TD Canada Trust,Toronto,,,,1416,803316415,43.6982119,-79.4392003,TD Canada Trust,,,,,Eglinton Avenue West,,POINT (-79.4392003 43.6982119)
Meridian Credit Union,Toronto,,,Mo-We 09:30-17:00; Th-Fr 09:30-19:00; Sa 09:30-15:00; Su off,690,850373152,43.7058780,-79.3894107,Meridian Credit Union,,+1-416-440-2960,M4S 2N3,,Mount Pleasant Road,,POINT (-79.3894107 43.705878)
RBC,,,,,,854105120,43.7038121,-79.4521942,RBC,RBC,,,,,,POINT (-79.45219419999999 43.7038121)
CIBC,Scarborough,,,,3420,869732867,43.7972954,-79.3153527,CIBC,,,,,Finch Avenue East,,POINT (-79.31535270000001 43.7972954)
BMO,Toronto,,,Mo-We 09:00-17:00; Th-Fr 09:00-19:00; Sa 09:00-15:00; Su off,242,871501524,43.6682433,-79.3972205,BMO,,,,,Bloor Street West,yes,POINT (-79.3972205 43.6682433)
BMO,Toronto,,,,26,902109826,43.6403402,-79.3947822,BMO,,,,,Fort York Boulevard,,POINT (-79.39478219999999 43.6403402)
CIBC,,,,,,927205344,43.7621268,-79.4107238,CIBC,,,,,,,POINT (-79.4107238 43.7621268)
HSBC,,,,Mo-Fr 09:00-17:00; Sa 10:00-16:00; Su off,,975540390,43.6693984,-79.3941592,HSBC,,,,,,yes,POINT (-79.3941592 43.6693984)
BMO,,,,,,1111963337,43.7739199,-79.5022309,BMO,,,,,,yes,POINT (-79.5022309 43.7739199)
Alterna Savings,,,,,,1111970417,43.7744143,-79.5013530,Alterna Savings,,,,,,yes,POINT (-79.50135299999999 43.7744143)
Scotiabank,,,,,,1114113181,43.6504088,-79.3797252,Scotiabank,,,,,,,POINT (-79.3797252 43.6504088)
TD Canada Trust,,,,"Mo-We 08:00-18:00; Th,Fr 08:00-20:00; Sa 08:00-16:00",,1119452018,43.6423031,-79.3808879,TD Canada Trust,Toronto-Dominion Bank,,,,,yes,POINT (-79.3808879 43.6423031)
CIBC,,,,,,1122192882,43.6559870,-79.3831690,CIBC,,,,,,yes,POINT (-79.383169 43.655987)
BMO,Toronto,,,,1560,1122913443,43.6892048,-79.3948009,BMO,,,,,Yonge Street,,POINT (-79.39480090000001 43.6892048)
,Toronto,,,,950,1123669791,43.6749330,-79.3889650,Effort Trust,,,,,Yonge Street,,POINT (-79.388965 43.674933)
BMO,,,,,,1125193275,43.7630573,-79.4109644,BMO,,,,,,,POINT (-79.4109644 43.7630573)
HSBC,,,,,,1125221420,43.7688860,-79.4131910,HSBC,,,,,,,POINT (-79.413191 43.768886)
BMO,,,,,,1125222068,43.7685620,-79.4130410,BMO,,,,,,,POINT (-79.41304100000001 43.768562)
TD Canada Trust,,,,,,1131216699,43.7629360,-79.4903649,TD Canada Trust,,,,,,,POINT (-79.4903649 43.762936)
BMO,,,,,,1137828949,43.6692610,-79.3883570,BMO,,,,,,,POINT (-79.388357 43.669261)
CIBC,Toronto,,,,462,1138449976,43.6894530,-79.4131490,CIBC,,,,,Spadina Road,,POINT (-79.413149 43.689453)
TD Canada Trust,,,,,443,1138450911,43.6892939,-79.4127940,TD Canada Trust,,,,,Spadina Road,,POINT (-79.41279400000001 43.6892939)
BMO,Toronto,,,,,1138451426,43.6890840,-79.4127052,BMO,,,,,,,POINT (-79.4127052 43.689084)
CIBC,,,,,,1148294038,43.7587110,-79.4654240,CIBC,,,,,,,POINT (-79.465424 43.758711)
Scotiabank,North York,,,,2175,1186819610,43.7744110,-79.3310470,Scotiabank,,,,,Sheppard Avenue East,,POINT (-79.331047 43.774411)
National Bank,,,,,,1186819668,43.7753288,-79.3307577,National Bank,,,,,,,POINT (-79.33075770000001 43.7753288)
CIBC,,,,,,1186819752,43.7758990,-79.3229600,CIBC,CIBC,,,,,,POINT (-79.32295999999999 43.775899)
HSBC,,,,,,1208665799,43.7066748,-79.3994407,HSBC,,,,,,yes,POINT (-79.3994407 43.7066748)
BMO,,,,,,1208680689,43.7038501,-79.4110788,BMO,,,,,,,POINT (-79.4110788 43.7038501)
TD Canada Trust,,,,,,1208799414,43.7748360,-79.4146060,TD Canada Trust,,,,,,,POINT (-79.41460600000001 43.774836)
CIBC,Toronto,,,,5255,1208809978,43.7720211,-79.4132665,CIBC,,+1-416-223-8772,M2N 5P8,,Yonge Street,,POINT (-79.41326650000001 43.7720211)
HSBC,,,,Mo-Fr 09:30-16:30; Sa 10:00-16:00,,1226891091,43.6513658,-79.3977576,HSBC,,,,,,,POINT (-79.39775760000001 43.6513658)
RBC,,,,,1800,1246314509,43.7779057,-79.3456290,RBC,,,,,Sheppard Avenue East,yes,POINT (-79.345629 43.7779057)
RBC,,,,,,1267302860,43.6496484,-79.3840066,RBC,,,,,,,POINT (-79.38400660000001 43.6496484)
TD Canada Trust,,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su off,,1267303511,43.6488200,-79.3842020,TD Canada Trust,,,,,,,POINT (-79.384202 43.64882)
CIBC,East York,,,,660,1268623255,43.7115170,-79.3767901,CIBC,,,,,Eglinton Avenue East,,POINT (-79.37679009999999 43.711517)
TD Canada Trust,,,,"Mo-Su ""please add opening times""",,1276104148,43.7647560,-79.3968990,TD Canada Trust,,,,,,,POINT (-79.396899 43.764756)
TD Canada Trust,Toronto,,,"Mo-Su ""please add opening times""",61,1279840928,43.6395896,-79.4187867,TD Canada Trust,,,,,Hanna Avenue,yes,POINT (-79.4187867 43.6395896)
,,,,,,1279887035,43.6474610,-79.3800520,SBI Canada,,,,,,,POINT (-79.38005200000001 43.647461)
Scotiabank,,,,,,1279887931,43.6490727,-79.3800459,Scotiabank,Bank of Nova Scotia,,,,,,POINT (-79.3800459 43.6490727)
,,,,,,1287712625,43.7026410,-79.3976730,CityCan Mortgage Services,,,,,,,POINT (-79.397673 43.702641)
RBC,,,,,,1291245589,43.7102313,-79.3630996,RBC,,,,,,,POINT (-79.3630996 43.7102313)
TD Canada Trust,,,,,,1291246471,43.7117173,-79.3637393,TD Canada Trust,,,,,,,POINT (-79.36373930000001 43.7117173)
CIBC,,,,,,1329989802,43.6620735,-79.4259081,CIBC,,,,,,yes,POINT (-79.4259081 43.6620735)
CIBC,,,,,,1334061682,43.7046991,-79.3745604,CIBC,,,,,,,POINT (-79.37456039999999 43.7046991)
Scotiabank,,,,,,1347346210,43.7262665,-79.3000047,Scotiabank,,,,,,,POINT (-79.3000047 43.7262665)
CIBC,,,,,,1366136397,43.6705090,-79.3871180,CIBC,,,,,,,POINT (-79.387118 43.670509)
TD Canada Trust,,,,,,1386870916,43.6883298,-79.3939079,TD Canada Trust,TD Canada Trust,,,,,yes,POINT (-79.3939079 43.6883298)
,,,,,,1392113231,43.7079740,-79.3915750,Osuuspankki Finnish Credit Union Limited,,,,,,,POINT (-79.391575 43.707974)
,,,,,,1416806360,43.7082970,-79.3896650,DUCA Credit Union,,,,,,,POINT (-79.38966499999999 43.708297)
Scotiabank,,,,,,1436756609,43.7138180,-79.3647390,Scotiabank,,,,,,,POINT (-79.364739 43.713818)
RBC,,,,,,1445999732,43.6436800,-79.3893080,RBC,,,,,,,POINT (-79.389308 43.64368)
National Bank,,,,,,1459289637,43.8022840,-79.2938570,National Bank,,,,,,,POINT (-79.293857 43.802284)
CIBC,,,,,,1502217567,43.7835255,-79.1699431,CIBC,,,,,,,POINT (-79.1699431 43.7835255)
RBC,,,,,,1518496591,43.6195530,-79.4855070,RBC,,,,,,,POINT (-79.485507 43.619553)
CIBC,,,,,2935,1518516241,43.6005627,-79.5054003,CIBC,,,,,Lake Shore Boulevard West,,POINT (-79.50540030000001 43.6005627)
,,,,,,1562058306,43.6515820,-79.3786260,Industrial and Commercial Bank of China (Canada),,,,,,,POINT (-79.378626 43.651582)
CIBC,,,,Mo-We 09:00-18:00; Th 09:00-20:00; Fr 09:00-19:00; Sa 09:00-16:00; Su off,,1568604688,43.7066462,-79.3980786,CIBC,,,,,,yes,POINT (-79.39807860000001 43.7066462)
CIBC,,,,,,1639866939,43.6512663,-79.3649477,CIBC,CIBC,,,,,yes,POINT (-79.3649477 43.6512663)
TD Canada Trust,Toronto,,,,2220,1678689485,43.6512738,-79.4764461,TD Canada Trust,,,,,Bloor Street West,yes,POINT (-79.4764461 43.6512738)
Scotiabank,Scarborough,,,,325,1776711527,43.8145283,-79.3230782,Scotiabank,,,M1W 3Y1,,Bamburgh Circle,,POINT (-79.3230782 43.8145283)
TD Canada Trust,North York,,,,2885,1815451424,43.7677360,-79.3879480,TD Canada Trust,,,,,Bayview Avenue,,POINT (-79.38794799999999 43.767736)
BMO,Scarborough,,,,2739,1816585967,43.7363890,-79.2482656,BMO,,,,,Eglinton Avenue East,,POINT (-79.2482656 43.736389)
RBC,,,,Mo-We 09:30-17:00; Th 09:30-20:00; Fr 09:30-18:00; Sa 09:00-16:00,,1846075320,43.7557595,-79.4381451,RBC,,,,,,,POINT (-79.4381451 43.7557595)
Scotiabank,Toronto,,,,2895,1861798155,43.6008119,-79.5042410,Scotiabank,,,,,Lake Shore Boulevard West,,POINT (-79.50424099999999 43.6008119)
RBC,,,,,,1863193991,43.7652844,-79.2803370,RBC,RBC,,,,,,POINT (-79.280337 43.7652844)
RBC,,,,Mo-We 9:30-17:00; Th-Fr 9:30-18:00; Sa 9:00-16:00; Su off,,1870666693,43.6287263,-79.4903627,RBC,,,,,,,POINT (-79.49036270000001 43.6287263)
RBC,,,,,290,1888709039,43.6346909,-79.5620422,RBC,,,,,The West Mall,,POINT (-79.56204219999999 43.6346909)
Scotiabank,North York,,,"Mo-We 09:30-17:00, Th-Fr 09:30-20:00, Sa 09:30-16:00",628,1928115616,43.7555632,-79.4405940,Scotiabank,,+1-416-638-1955,M3H 2S1,,Sheppard Avenue West,,POINT (-79.440594 43.7555632)
BMO,,,,,,1928115618,43.7554257,-79.4412650,BMO,,,,,,,POINT (-79.441265 43.7554257)
BMO,,,,,,1963432914,43.7759850,-79.3250520,BMO,,,,,,,POINT (-79.325052 43.775985)
Bank of China,,,,,,1965833713,43.7859815,-79.3519268,Bank of China,,,,,,,POINT (-79.3519268 43.7859815)
CIBC,,,,,,1966526315,43.7881436,-79.3303816,CIBC,,,,,,,POINT (-79.3303816 43.7881436)
Scotiabank,,,,,,2018924095,43.7244956,-79.4540863,Scotiabank,,,,,,,POINT (-79.4540863 43.7244956)
CIBC,Etobicoke,,,,2291,2045166837,43.7287972,-79.5738540,CIBC,,,,,Kipling Avenue,,POINT (-79.573854 43.7287972)
TD Canada Trust,,,,,,2122925729,43.7243369,-79.2988700,TD Canada Trust,,,,,,,POINT (-79.29886999999999 43.7243369)
TD Canada Trust,,,,,,2149834598,43.6504267,-79.3606646,TD Canada Trust,,,,,,,POINT (-79.36066460000001 43.6504267)
Alterna Savings,Toronto,,,,3001,2159618449,43.6001240,-79.5073401,Alterna Savings,,,,,Lake Shore Boulevard West,,POINT (-79.50734009999999 43.600124)
,Etobicoke,,,,3055,2159618475,43.5995811,-79.5099151,St. Stanislaus-St. Casimer's Polish Parishes Credit Union Ltd,,,,,Lake Shore Boulevard West,,POINT (-79.5099151 43.5995811)
RBC,,,,Mo-Fr 09:30-17:00,,2164676300,43.6502981,-79.3720547,RBC,RBC,,,,,,POINT (-79.37205470000001 43.6502981)
RBC,,,,,,2172207983,43.7049522,-79.3750899,RBC,,,,,,,POINT (-79.37508990000001 43.7049522)
BMO,,,,,,2193108947,43.6594959,-79.3825340,BMO,,,,,,yes,POINT (-79.38253400000001 43.6594959)
RBC,,,,,,2193108948,43.6592714,-79.3824502,RBC,,,,,,,POINT (-79.38245019999999 43.6592714)
CIBC,,,,,,2201111011,43.6597900,-79.4351060,CIBC,,,,,,,POINT (-79.435106 43.65979)
TD Canada Trust,,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00; Su off,,2210110306,43.6873336,-79.3477844,TD Canada Trust,,,,,,no,POINT (-79.34778439999999 43.6873336)
TD Canada Trust,Toronto,,,Mo-We 08:00-18:00; Th 08:00-20:00; Fr 08:00-20:00; Sa 08:00-16:00; Su closed,614,2253802131,43.6362628,-79.4018532,TD Canada Trust,,+1-416-360-7791,M5V 1B3,,Fleet Street,yes,POINT (-79.40185320000001 43.6362628)
BMO,Toronto,,,,1293,2286883374,43.6581787,-79.4430078,BMO,,,,,Bloor Street West,,POINT (-79.4430078 43.6581787)
RBC,,,,,2947,2287335954,43.6478847,-79.5081374,RBC,,,,,Bloor Street West,,POINT (-79.5081374 43.6478847)
BMO,,,,,,2353059138,43.7785777,-79.4155991,BMO,,,,,,,POINT (-79.41559909999999 43.7785777)
TD Canada Trust,Etobicoke,,,Mo-Fr 08:00-20:00; Sa 08:00-16:00; Su 11:00-16:00,250,2365100292,43.6794414,-79.5470293,TD Canada Trust,,+1-416-241-5248,M9R 2R5,,Wincott Drive,no,POINT (-79.54702930000001 43.6794414)
,Toronto,,,,2280,2405795800,43.6508158,-79.4784348,Buduchnist Credit Union,,,,,Bloor Street West,yes,POINT (-79.4784348 43.6508158)
,Toronto,,,,2397,2405837497,43.6495754,-79.4826959,Ukrainian Credit Union Limited,,,,,Bloor Street West,,POINT (-79.4826959 43.6495754)
,,,,,,2407511161,43.7255914,-79.3187736,Latvian Credit Union,,,,,,,POINT (-79.3187736 43.7255914)
,,,,,,2470543877,43.6080122,-79.5475228,Moya Financial,,,,,,,POINT (-79.5475228 43.6080122)
RBC,Toronto,,,,101,2473918407,43.6555395,-79.3838982,RBC,,,,,Dundas Street West,,POINT (-79.3838982 43.6555395)
National Bank,,,,,,2476496590,43.7246645,-79.4168259,National Bank,,,,,,,POINT (-79.41682590000001 43.7246645)
BMO,,,,,,2476507541,43.7281053,-79.4177207,BMO,,,,,,,POINT (-79.4177207 43.7281053)
BMO,,,,,,2480722088,43.6588525,-79.3905557,BMO,,,,,,,POINT (-79.39055569999999 43.6588525)
BMO,York,,,,605,2534750295,43.6819320,-79.4722308,BMO,,,,,Rogers Road,,POINT (-79.47223080000001 43.681932)
BMO,,,,,,2547436284,43.7687409,-79.3703248,BMO,,,,,,,POINT (-79.37032480000001 43.7687409)
TD Canada Trust,,,,,,2547520854,43.7873547,-79.4176553,TD Canada Trust,,,,,,,POINT (-79.41765530000001 43.7873547)
,,,,,,2547520859,43.7886752,-79.4181703,City Saving Financial Savings,,,,,,,POINT (-79.4181703 43.7886752)
,,,,,,2557976285,43.6551189,-79.4340876,President's Choice Financial,,,,,,,POINT (-79.4340876 43.6551189)
Scotiabank,,,,,,2558957604,43.6500362,-79.4358133,Scotiabank,,,,,,,POINT (-79.43581330000001 43.6500362)
BMO,Toronto,,,,171,2563172135,43.6385977,-79.4180586,BMO,BMO,,,,East Liberty Street,,POINT (-79.41805859999999 43.6385977)
CIBC,Toronto,,,,120,2563172142,43.6390652,-79.4172762,CIBC,CIBC,,,,Lynn Williams Street,,POINT (-79.4172762 43.6390652)
Scotiabank,,,,,,2626675466,43.6616593,-79.3378914,Scotiabank,,,,,,,POINT (-79.3378914 43.6616593)
National Bank,,,,,,2626678291,43.6514435,-79.3667121,National Bank,,,,,,yes,POINT (-79.3667121 43.6514435)
RBC,,,,,,2626678862,43.6516755,-79.3657766,RBC,,,,,,,POINT (-79.3657766 43.6516755)
HSBC,,,,,,2636084668,43.7231533,-79.2894637,HSBC,,,,,,,POINT (-79.2894637 43.7231533)
TD Canada Trust,,,,,,2684474616,43.6646194,-79.3678858,TD Canada Trust,,,,,,,POINT (-79.3678858 43.6646194)
Meridian Credit Union,,,,,26,2696995031,43.6885439,-79.3928737,Meridian Credit Union,,,,,St. Clair Avenue East,,POINT (-79.3928737 43.6885439)
BMO,,,,,,2704253971,43.7167355,-79.4289597,BMO,,,,,,,POINT (-79.42895969999999 43.7167355)
BMO,,,,,,2755278717,43.7980282,-79.3180188,BMO,,+1-416-497-2863,,,,,POINT (-79.3180188 43.7980282)
TD Canada Trust,Toronto,,,,25,2765988736,43.6503024,-79.3611314,TD Canada Trust,,,,,Mill Street,,POINT (-79.3611314 43.6503024)
RBC,Toronto,,,,1980,2780593061,43.6723666,-79.4697335,RBC,,,,,St. Clair Avenue West,,POINT (-79.4697335 43.6723666)
BMO,,,,,,2784479085,43.6658949,-79.4510409,BMO,,,,,,,POINT (-79.4510409 43.6658949)
TD Canada Trust,,,,Mo-We 08:00-18:00; Th-Fr 08:00-20:00; Sa 08:00-16:00; Su off,,2792733118,43.6761288,-79.4503485,TD Canada Trust,,,,,,no,POINT (-79.4503485 43.6761288)
TD Canada Trust,Scarborough,,,,2561,2794019048,43.7738881,-79.3218173,TD Canada Trust,,+1-416-491-2727,M1T 1A4,,Victoria Park Avenue,,POINT (-79.32181730000001 43.7738881)
Scotiabank,,,,,,2806287602,43.6558281,-79.3891346,Scotiabank,,,,,,,POINT (-79.38913460000001 43.6558281)
RBC,,,,,,2809875143,43.6774632,-79.4956997,RBC,,,,,,,POINT (-79.4956997 43.6774632)
TD Canada Trust,,,,,,2848631101,43.6437904,-79.4196726,TD Canada Trust,,,,,,no,POINT (-79.4196726 43.6437904)
RBC,,,,,,2848637832,43.6426785,-79.4273674,RBC,,,,,,,POINT (-79.42736739999999 43.6426785)
RBC,,,,,,2869612782,43.6802637,-79.3905197,RBC,,,,,,,POINT (-79.3905197 43.6802637)
CIBC,,,,,,2883532663,43.6490437,-79.5288912,CIBC,CIBC,,,,,,POINT (-79.5288912 43.6490437)
CIBC,,,,,,2892352942,43.7572656,-79.3117499,CIBC,,,,,,,POINT (-79.3117499 43.7572656)
RBC,,,,,,2915315637,43.7818747,-79.2924602,RBC,,,,,,,POINT (-79.29246019999999 43.7818747)
RBC,,,,,,2926923401,43.6974526,-79.3290692,RBC,,,,,,,POINT (-79.32906920000001 43.6974526)
BMO,,,,,,2928429563,43.7105509,-79.2908148,BMO,,,,,,,POINT (-79.29081480000001 43.7105509)
Desjardins,Toronto,,,,11,2953594665,43.6488484,-79.3785503,Desjardins,,,,,King Street West,,POINT (-79.3785503 43.6488484)
HSBC,,,,,,3016315363,43.8071001,-79.3382839,HSBC,,,,,,,POINT (-79.33828389999999 43.8071001)
ICICI Bank,,,,,,3016320932,43.8325882,-79.2673256,ICICI Bank,,,,,,,POINT (-79.26732560000001 43.8325882)
TD Canada Trust,,,,Mo-Su,,3019023144,43.7792808,-79.3036989,TD Canada Trust,,,,,,,POINT (-79.3036989 43.7792808)
BMO,,,,,,3099831942,43.7490275,-79.5599738,BMO,,,,,,,POINT (-79.55997379999999 43.7490275)
TD Canada Trust,Etobicoke,,,,3569,3107939728,43.5942395,-79.5337179,TD Canada Trust,,,,,Lake Shore Boulevard West,,POINT (-79.5337179 43.5942395)
HSBC,,,,,,3215285378,43.6771576,-79.4457461,HSBC,,,,,,,POINT (-79.44574609999999 43.6771576)
RBC,Scarborough,,,,1940,3248253218,43.7281379,-79.2884117,RBC,,,,,Eglinton Avenue East,,POINT (-79.2884117 43.7281379)
RBC,,,,,,3283174869,43.7870322,-79.4686109,RBC,,,,,,,POINT (-79.4686109 43.7870322)
TD Canada Trust,,,,,,3285162570,43.7863229,-79.4694878,TD Canada Trust,,,,,,yes,POINT (-79.4694878 43.7863229)
Scotiabank,,,,,,3288777734,43.6793991,-79.4356863,Scotiabank,,,,,,,POINT (-79.4356863 43.6793991)
RBC,,,,,,3293422694,43.8252546,-79.2992764,RBC,,,,,,,POINT (-79.2992764 43.8252546)
Scotiabank,,,,,,3293428518,43.8246469,-79.3012333,Scotiabank,,,,,,,POINT (-79.30123330000001 43.8246469)
RBC,,,,,,3303214139,43.7529685,-79.3583099,RBC,,,,,,,POINT (-79.35830989999999 43.7529685)
National Bank,Toronto,,,Mo-Fr 07:45-17:00; Sa-Su off,121,3307875588,43.6478532,-79.3828241,National Bank,,+1-416-864-7791,M5H 3T9,,King Street West,,POINT (-79.38282409999999 43.6478532)
